ESG Corporate KPIs: Key Performance Indicators from Sustainalytics for corporate environmental, social, and governance metrics. Contains the full library of standard datafiles offered through Sustainalytics' Data Services solutions, including fields and indicators that have been discontinued but are still included in the historical dataset. In some cases, this also includes fields that are pending an upcoming release.

FieldId	FieldName	Description	FieldType	PossibleValues
101111212999	Bloomberg Share Class BBGID	"Twelve character, alphanumeric identifier. The first 2 characters are upper-case consonants (including ""Y""), the third character is the upper-case ""G"", characters 4 -11 are any upper-case consonant (including ""Y"") or integer between 0 and 9, and the last character is a check-digit. A Share Class level Financial Instrument Global Identifier is assigned to an instrument that is traded in more than one country. This enables users to link multiple Composite FIGIs for the same instrument in order to obtain an aggregated view for that instrument across all countries globally. (ID_BB_GLOBAL_SHARE_CLASS_LEVEL)"	Alphanumeric	NULL|{text}
101111222999	Bloomberg Unique ID	A legacy identifier assigned to all instruments. The construction and length of this identifier is different across asset classes. This identifier can also change as a result of corporate actions. (ID_BB_UNIQUE)	Alphanumeric	NULL|{text}
101111232999	Bloomberg Ticker Exchange	Bloomberg ticker and exchange code	Alphanumeric	NULL|{text}
101211112999	ISIN	ISIN market identifier code	Alphanumeric	NULL|min. AA0000000000 max. ZZ9999999999
101211122999	SEDOL	SEDOL market identifier code	Alphanumeric	NULL|min. 0000000 max. 9999999
101211132999	CUSIP	CUSIP market identifier code	Alphanumeric	NULL|min. 000000000 max. 999999999
101311112899	Entity Type	Field indicating whether a company is a research entity or coverage entity	String	NULL|Research|Coverage
101311122999	Research Entity ID	CompanyId of the research entity that the company is linked to. In case the company is a research entity, the research entity id will be equal to the companyid for the company.	Integer	NULL|min. 0 max. 9999999999
101311132899	Research Entity Name	Company name of the research entity that the company is linked to. In case the company is a research entity, the Research Entity Name will be equal to the CompanyName for the company.	String	NULL|{text}
101411123699	Ratings Switzerland	Large and medium market cap issuers listed in Switzerland. Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411133699	Ratings UK	Large and medium market cap issuers listed in the United Kingdom. Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411153699	Ratings Oceania	Large and medium market cap issuers listed in Oceania (curently Australia and New Zealand). Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411183699	Ratings Global emerging	Large and medium market cap investable issuers in emerging markets. Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411193699	Ratings Global developed	Large and medium market cap investable issuers in developed markets. Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411203699	Ratings America full	Large and medium market cap issuers listed in North and South America. Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411213699	Ratings America emerging	Large and medium market cap issuers listed in South America. Part of Ratings universe.	Integer	0|1
101411223699	Ratings America developed	Large and medium market cap issuers listed in North America. Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411233699	Ratings Canada	Large and medium market cap issuers listed in Canada. Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411243699	Ratings EMEA full	Large and medium market cap issuers listed in Europe, Middle East and Africa. Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411253699	Ratings Japan	Large and medium market cap issuers listed in Japan. Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411263699	Ratings EMEA emerging	Large and medium market cap issuers listed in Middle East (emerging) and Africa. Part of Ratings universe.	Integer	0|1
101411273699	Ratings+ Global emerging	Large and medium and small market cap investable issuers in emerging markets.	Integer	0|1
101411283699	Ratings EMEA developed	Large and medium market cap issuers listed in Europe and Middle East (developed). Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411293699	Ratings+ Global developed	Large and medium and small market cap investable issuers in developed markets.	Integer	0|1
101411303699	Ratings APAC full	Large and medium market cap issuers listed in Asia-Pacific. Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411313699	Ratings+ America full	Large and medium and small market cap issuers listed in North and South America.	Integer	0|1
101411323699	Ratings APAC emerging	Large and medium market cap issuers listed in Asia-Pacific emerging markets. Part of Ratings universe.	Integer	0|1
101411333699	Ratings+ America emerging	Large and medium and small market cap issuers listed in South America.	Integer	0|1
101411343699	Ratings APAC developed	Large and medium market cap issuers listed in Asia-Pacific developed markets. Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411353699	Ratings+ America developed	Large and medium and small market cap issuers listed in North America.	Integer	0|1
101411363699	Ratings Nordics	Large and medium market cap issuers listed in Nordics. Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411373699	Ratings+ EMEA full	Large and medium and small market cap issuers listed in Europe, Middle East and Africa.	Integer	0|1
101411383699	Ratings+ EMEA emerging	Large and medium and small market cap issuers listed in Middle East (emerging) and Africa.	Integer	0|1
101411393699	Ratings+ EMEA developed	Large and medium and small market cap issuers listed in Europe and Middle East (developed).	Integer	0|1
101411403699	Ratings+ APAC full	Large and medium and small market cap issuers listed in Asia-Pacific.	Integer	0|1
101411413699	Ratings+ APAC emerging	Large and medium and small market cap issuers listed in Asia-Pacific emerging markets.	Integer	0|1
101411423699	Ratings+ APAC developed	Large and medium and small market cap issuers listed in Asia-Pacific developed markets.	Integer	0|1
101411433699	Ratings+ Nordics	Large and medium and small market cap issuers listed in Nordics.	Integer	0|1
101411443699	Ratings+ Switzerland	Large and medium and small market cap issuers listed in Switzerland.	Integer	0|1
101411453699	Ratings	Large and medium market cap investable issuers in emerging and developed markets. Part of Standard RATINGS universe, as determined based on index constituents.	Integer	0|1
101411463699	Ratings+	Large and medium and small market cap investable issuers in emerging and developed markets.	Integer	0|1
101411473699	Ratings+ UK	Large and medium and small market cap issuers listed in the United Kingdom.	Integer	0|1
101411483699	Ratings+ Oceania	Large and medium and small market cap issuers listed in Oceania (currenty Australia and New Zealand).	Integer	0|1
101411493699	Ratings+ Canada	Large and medium and small market cap issuers listed in Canada.	Integer	0|1
101411503699	Ratings+ Japan	Large and medium and small market cap issuers listed in Japan.	Integer	0|1
101411513699	Ratings Large Cap	Large market cap investable issuers in emerging and developed markets. Part of Ratings universe, as determined based on index constituents.	Integer	0|1
101411543699	Compliance - Product Involvement Involved	All issuers showing involvement in at least one area of Product Involvement, based on our review of the Compliance Universe and portfolio screenings	Integer	0|1
101411553699	Compliance - Global Standards Screening Watchlist/Non-Compliant	All issuers with Non-compliant or Watchlist status for Global Standards Screening, based on our review of the Global Compliance Universe and portfolio screenings	Integer	0|1
101411563699	Global Standards Engagement Reporting	All issuers with a reportable Global Standards Engagement case, based on our screening of the Global Compliance Universe and historical cases with activity.	Integer	0|1
101411573699	Compliance - Weapons Involved	All issuers showing direct or indirect involvement in Controversial Weapons, based on our review of Global Compliance Universe and survey of global companies.	Integer	0|1
101411583699	Compliance - Controversies Categories 4/5	All issuers showing at least one Category 4 or Category 5 Controversy, based on our review of the Compliance Universe and portfolio screenings.	Integer	0|1
101411593699	Compliance Base	Large, medium, and small-cap issuers of equity securities (and analogous fixed-income issues) in emerging and developing markets.	Integer	0|1
101411603699	Material Risk Engagement Reporting	All issuers with a reportable Material Engagement case, based on our screening of the Ratings Universe and historical cases with activity.	Integer	0|1
101411643699	Global Compliance Base	Large, medium- small-, and micro-cap issuers of equity securities (and analogous fixed-income issues) in emerging and developing markets.	Integer	0|1
101411673699	Country Ratings	Country Ratings universe contains the 172 countries covered by the Country Product offerings.	Integer	0|1
101411763699	Engagement 360 Reporting Universe	All issuers with a reportable Engagement case, based on our screening of the Global Compliance Universe and historical cases with activity.	Integer	0|1
101411783699	Sustainalytics Global ESG Universe	Large, medium, and small-cap issuers of equity securities (and analogous fixed-income issuers) in emerging and developing markets, excluding ineligible entities.	Integer	0|1
101411793699	U.S. Sub-Sovereign Universe	Governmental unit issuers of general obligation debt securities, where the issuer is below the national or federal level. The universe is comprised of states (plus the District of Columbia) plus cities, counties and school districts that meet a minimum population threshold.	Integer	0|1
111010162899	Research type	Field indicating the research type	String	NULL|Core|Comprehensive
121010112599	Highest Controversy Level-Answer Category	Highest controversy score	Integer	NULL|0|1|2|3|4|5
121113112599	E.1.12 Operations Incidents-Answer Category	Answer category score	Integer	NULL|0|1|2|3|4|5
121113122599	E.2.2 Environmental Supply Chain Incidents-Answer Category	Answer category score	Integer	NULL|0|1|2|3|4|5
121113132599	E.3.2 Product & Service Incidents-Answer Category	Answer category score	Integer	NULL|0|1|2|3|4|5
121213112599	S.1.7 Employee Incidents-Answer Category	Answer category score	Integer	NULL|0|1|2|3|4|5
121213122599	S.2.3 Social Supply Chain Incidents-Answer Category	Answer category score	Integer	NULL|0|1|2|3|4|5
121213132599	S.3.3 Customer Incidents-Answer Category	Answer category score	Integer	NULL|0|1|2|3|4|5
121213142599	S.4.3 Society & Community Incidents-Answer Category	Answer category score	Integer	NULL|0|1|2|3|4|5
121313112599	G.1.5 Business Ethics Incidents-Answer Category	Answer category score	Integer	NULL|0|1|2|3|4|5
121313122599	G.2.13 Governance Incidents-Answer Category	Answer category score	Integer	NULL|0|1|2|3|4|5
121313132599	G.3.4 Public Policy Incidents-Answer Category	Answer category score	Integer	NULL|0|1|2|3|4|5
131111112599	Access to Basic Services-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
131111121799	Access to Basic Services-Answer category justification	Answer category justification	String	NULL|{text}
131111131699	Access to Basic Services-Summary	Event summary text	String	NULL|{text}
131111142699	Access to Basic Services-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
131111151799	Access to Basic Services-Outlook text	Outlook text	String	NULL|{text}
131111161799	Access to Basic Services-Outlook comments	Outlook comment text	String	NULL|{text}
131113111699	Access to Basic Services-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113121699	Accounting and Taxation-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113131699	Animal Welfare-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113141699	Animal Welfare - SC-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113151699	Anti-Competitive Practices-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113161699	Bribery and Corruption-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113171699	Bribery and Corruption - SC-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113181699	Business Ethics-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113191699	Business Ethics - SC-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113201699	Community Relations-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113211699	Community Relations - SC-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113221699	Corporate Governance-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113231699	Emissions, Effluents and Waste-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113241699	Emissions, Effluents and Waste - SC-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113251699	Energy Use and GHG Emissions-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113261699	Energy Use and GHG Emissions - SC-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113271699	Environmental Impact of Products-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113281699	Intellectual Property-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113291699	Labour Relations-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113301699	Labour Relations - SC-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113311699	Land Use and Biodiversity-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113321699	Land Use and Biodiversity - SC-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113331699	Lobbying and Public Policy-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113341699	Marketing Practices-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113351699	Media Ethics-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113361699	Occupational Health and Safety-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113371699	Occupational Health and Safety - SC-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113381699	Data Privacy and Security-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113391699	Quality and Safety-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113401699	Resilience-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113411699	Sanctions-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113421699	Social Impact of Products-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113431699	Water Use-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113441699	Water Use - SC-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113451699	Weapons-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113461699	Carbon Impact of Products-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113471699	Employees - Human Rights-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113481699	Employees - Human Rights - SC-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113491699	Society - Human Rights-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131113501699	Society - Human Rights - SC-Category	The qualitative assessment that corresponds to the level of severity of an event indicator.	String	NULL|0|Low|Moderate|Significant|High|Severe
131211112599	Accounting and Taxation-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
131211121799	Accounting and Taxation-Answer category justification	Answer category justification	String	NULL|{text}
131211131699	Accounting and Taxation-Summary	Event summary text	String	NULL|{text}
131211142699	Accounting and Taxation-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
131211151799	Accounting and Taxation-Outlook text	Outlook text	String	NULL|{text}
131211161799	Accounting and Taxation-Outlook comments	Outlook comment text	String	NULL|{text}
131311112599	Animal Welfare-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
131311121799	Animal Welfare-Answer category justification	Answer category justification	String	NULL|{text}
131311131699	Animal Welfare-Summary	Event summary text	String	NULL|{text}
131311142699	Animal Welfare-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
131311151799	Animal Welfare-Outlook text	Outlook text	String	NULL|{text}
131311161799	Animal Welfare-Outlook comments	Outlook comment text	String	NULL|{text}
131312112599	Animal Welfare - SC-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
131312121799	Animal Welfare - SC-Answer category justification	Answer category justification	String	NULL|{text}
131312131699	Animal Welfare - SC-Summary	Event summary text	String	NULL|{text}
131312142699	Animal Welfare - SC-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
131312151799	Animal Welfare - SC-Outlook text	Outlook text	String	NULL|{text}
131312161799	Animal Welfare - SC-Outlook comments	Outlook comment text	String	NULL|{text}
131411112599	Anti-Competitive Practices-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
131411121799	Anti-Competitive Practices-Answer category justification	Answer category justification	String	NULL|{text}
131411131699	Anti-Competitive Practices-Summary	Event summary text	String	NULL|{text}
131411142699	Anti-Competitive Practices-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
131411151799	Anti-Competitive Practices-Outlook text	Outlook text	String	NULL|{text}
131411161799	Anti-Competitive Practices-Outlook comments	Outlook comment text	String	NULL|{text}
131511112599	Bribery and Corruption-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
131511121799	Bribery and Corruption-Answer category justification	Answer category justification	String	NULL|{text}
131511131699	Bribery and Corruption-Summary	Event summary text	String	NULL|{text}
131511142699	Bribery and Corruption-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
131511151799	Bribery and Corruption-Outlook text	Outlook text	String	NULL|{text}
131511161799	Bribery and Corruption-Outlook comments	Outlook comment text	String	NULL|{text}
131512112599	Bribery and Corruption - SC-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
131512121799	Bribery and Corruption - SC-Answer category justification	Answer category justification	String	NULL|{text}
131512131699	Bribery and Corruption - SC-Summary	Event summary text	String	NULL|{text}
131512142699	Bribery and Corruption - SC-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
131512151799	Bribery and Corruption - SC-Outlook text	Outlook text	String	NULL|{text}
131512161799	Bribery and Corruption - SC-Outlook comments	Outlook comment text	String	NULL|{text}
131611112599	Business Ethics-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
131611121799	Business Ethics-Answer category justification	Answer category justification	String	NULL|{text}
131611131699	Business Ethics-Summary	Event summary text	String	NULL|{text}
131611142699	Business Ethics-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
131611151799	Business Ethics-Outlook text	Outlook text	String	NULL|{text}
131611161799	Business Ethics-Outlook comments	Outlook comment text	String	NULL|{text}
131612112599	Business Ethics - SC-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
131612121799	Business Ethics - SC-Answer category justification	Answer category justification	String	NULL|{text}
131612131699	Business Ethics - SC-Summary	Event summary text	String	NULL|{text}
131612142699	Business Ethics - SC-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
131612151799	Business Ethics - SC-Outlook text	Outlook text	String	NULL|{text}
131612161799	Business Ethics - SC-Outlook comments	Outlook comment text	String	NULL|{text}
131711112599	Child Labour-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
131711121799	Child Labour-Answer category justification	Answer category justification	String	n/a
131711131699	Child Labour-Summary	Event summary text	String	n/a
131711142699	Child Labour-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
131711151799	Child Labour-Outlook text	Outlook text	String	n/a
131711161799	Child Labour-Outlook comments	Outlook comment text	String	n/a
131811112599	Community Relations-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
131811121799	Community Relations-Answer category justification	Answer category justification	String	NULL|{text}
131811131699	Community Relations-Summary	Event summary text	String	NULL|{text}
131811142699	Community Relations-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
131811151799	Community Relations-Outlook text	Outlook text	String	NULL|{text}
131811161799	Community Relations-Outlook comments	Outlook comment text	String	NULL|{text}
131812112599	Community Relations - SC-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
131812121799	Community Relations - SC-Answer category justification	Answer category justification	String	NULL|{text}
131812131699	Community Relations - SC-Summary	Event summary text	String	NULL|{text}
131812142699	Community Relations - SC-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
131812151799	Community Relations - SC-Outlook text	Outlook text	String	NULL|{text}
131812161799	Community Relations - SC-Outlook comments	Outlook comment text	String	NULL|{text}
131911112599	Complicity in Human Rights Violations-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
131911121799	Complicity in Human Rights Violations-Answer category justification	Answer category justification	String	n/a
131911131699	Complicity in Human Rights Violations-Summary	Event summary text	String	n/a
131911142699	Complicity in Human Rights Violations-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
131911151799	Complicity in Human Rights Violations-Outlook text	Outlook text	String	n/a
131911161799	Complicity in Human Rights Violations-Outlook comments	Outlook comment text	String	n/a
132011112599	Corporate Governance-Answer category	The score that corresponds to the indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 5, where 1 is low, 2 is moderate, 3 is significant, 4 is high, 5 is severe.	Integer	NULL|0|1|2|3|4|5
132011121799	Corporate Governance-Answer category justification	Answer category justification	String	NULL|{text}
132011131699	Corporate Governance-Summary	Event summary text	String	NULL|{text}
132011142699	Corporate Governance-Outlook Score	The score that corresponds to the analysts outlook assessment. Scores may be -1 (negative outlook), 0 (neutral outlook), 1 (positive outlook).	Integer	NULL|-1|0|1
132011151799	Corporate Governance-Outlook text	Outlook text	String	NULL|{text}
